                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4076,                 2.0171,                 1.3802,                 0.3566,                0.23108,                0.20661,                  0.105,                 1.7286,                 2.7586,                  1.757,                0.06704,             0.00033293,             0.00033293
                      2,                  1.438,                 1.8606,                 1.4085,                0.48713,                0.38805,                0.38021,                0.22194,                 1.5271,                  1.927,                  1.459,               0.034036,             0.00066297,             0.00066297
                      3,                 1.4387,                 1.8235,                 1.4125,                0.50678,                0.39571,                0.41449,                0.24434,                 1.4921,                 1.8227,                 1.4354,              0.0010298,              0.0009897,              0.0009897
                      4,                 1.4161,                 1.7644,                 1.4002,                0.55676,                0.39804,                0.42884,                0.26188,                 1.4502,                 1.7252,                 1.4097,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.3844,                 1.7052,                 1.3766,                0.57717,                0.41348,                0.44869,                0.27836,                 1.4265,                  1.677,                 1.3807,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.3615,                 1.6574,                 1.3647,                 0.5798,                0.45129,                0.49391,                0.31216,                 1.3908,                 1.5522,                 1.3479,             0.00097525,             0.00097525,             0.00097525
                      7,                 1.3322,                 1.6154,                 1.3437,                 0.5774,                0.45476,                0.49402,                0.31445,                 1.3903,                 1.5329,                 1.3596,              0.0009703,              0.0009703,              0.0009703
                      8,                 1.3252,                  1.582,                 1.3391,                0.58775,                0.44504,                0.49163,                0.31062,                 1.3881,                 1.5586,                 1.3665,             0.00096535,             0.00096535,             0.00096535
                      9,                 1.3136,                 1.5525,                 1.3309,                0.59627,                0.47574,                0.52574,                0.33979,                 1.3259,                 1.4521,                 1.3106,              0.0009604,              0.0009604,              0.0009604
                     10,                 1.3063,                  1.544,                 1.3285,                0.60342,                0.47382,                0.52193,                 0.3328,                 1.3388,                 1.4595,                  1.332,             0.00095545,             0.00095545,             0.00095545
                     11,                 1.2967,                 1.5217,                 1.3199,                0.62123,                0.46989,                0.52507,                0.33782,                 1.3328,                 1.4392,                 1.3059,              0.0009505,              0.0009505,              0.0009505
                     12,                 1.2754,                  1.488,                 1.3094,                0.63282,                0.49115,                0.55027,                 0.3572,                 1.3165,                 1.3822,                 1.2945,             0.00094555,             0.00094555,             0.00094555
                     13,                 1.2714,                  1.485,                 1.3063,                0.64533,                0.48621,                0.54772,                0.35769,                 1.3014,                 1.3797,                 1.2925,              0.0009406,              0.0009406,              0.0009406
                     14,                 1.2702,                 1.4764,                 1.3053,                0.64095,                 0.4971,                0.55966,                0.36602,                 1.2958,                 1.3618,                 1.2846,             0.00093565,             0.00093565,             0.00093565
